geoid,total,inc_under_25k,per_under_25k
17031210100,2868,1565,0.545676429567643
17031210400,2200,1300,0.5909090909090909
17031210501,3097,2020,0.6522441072005166
17031210502,3615,2512,0.6948824343015214
17031210601,2337,1525,0.652545999144202
17031210602,3312,1783,0.5383454106280193
17031210700,3507,1867,0.5323638437410892
17031210800,1017,489,0.4808259587020649
17031210900,2466,1197,0.4854014598540146
17031220300,1912,675,0.3530334728033473
17031220400,2228,867,0.3891382405745063
17031220500,2504,799,0.3190894568690096
17031220601,1522,766,0.5032851511169514
17031220602,4455,2080,0.4668911335578002
17031220701,2660,1339,0.5033834586466165
17031220702,2983,1684,0.5645323499832383
17031220901,2316,1703,0.7353195164075993
17031220902,2402,1651,0.6873438800999168
17031221000,2235,1467,0.6563758389261745
17031221100,4571,2874,0.6287464449792168
17031221200,2619,1194,0.4558991981672394
17031221300,2340,1063,0.45427350427350427
17031221400,2459,1028,0.4180561203741358
17031221500,2469,1182,0.4787363304981774
17031221600,2483,754,0.3036649214659686
17031222200,1692,428,0.25295508274231676
17031222500,1258,741,0.5890302066772655
17031222600,1381,649,0.4699493120926865
17031222700,2049,1233,0.6017569546120058
17031222800,860,594,0.6906976744186046
17031222900,743,464,0.6244952893674294
17031230100,1266,695,0.5489731437598736
17031230200,1625,1161,0.7144615384615385
17031230300,731,448,0.612859097127223
17031230400,1995,1487,0.7453634085213032
17031230500,2889,2082,0.7206645898234684
17031230600,4751,3506,0.7379499052830983
17031230700,3980,2878,0.7231155778894472
17031230800,1052,661,0.6283269961977186
17031230900,4097,2591,0.6324139614351965
17031231100,957,671,0.7011494252873564
17031231200,4216,3198,0.75853889943074
17031231500,5266,4043,0.7677554120774782
17031240200,1327,347,0.2614920874152223
17031240300,1107,300,0.27100271002710025
17031240500,1999,242,0.12106053026513257
17031240600,1218,483,0.39655172413793105
17031240700,1305,723,0.5540229885057472
17031240800,1319,785,0.5951478392721758
17031240900,900,493,0.5477777777777778
17031241000,1602,1003,0.6260923845193508
17031241100,3293,1330,0.40388703310051627
17031241200,1662,660,0.3971119133574007
17031241300,1714,661,0.3856476079346558
17031241400,4436,1221,0.27524797114517585
17031241500,2685,686,0.2554934823091248
17031241600,3279,1e3,0.3049710277523635
17031242000,4370,1726,0.39496567505720825
17031242100,3223,785,0.24356189885200125
17031242200,3052,879,0.2880078636959371
17031242300,2798,726,0.2594710507505361
17031242400,2574,1027,0.398989898989899
17031242500,3163,1535,0.4852987669933607
17031242600,5081,2571,0.5060027553631175
17031242700,1398,912,0.6523605150214592
17031242800,1140,514,0.45087719298245615
17031242900,1422,408,0.2869198312236287
17031243000,1995,721,0.36140350877192984
17031243100,2129,914,0.42930953499295443
17031243200,1856,561,0.30226293103448276
17031243300,2184,688,0.315018315018315
17031243400,2351,817,0.34751169715014885
17031243500,2696,606,0.2247774480712166
17031250200,2174,1526,0.7019319227230911
17031250300,3721,2682,0.720773985487772
17031250400,4017,2622,0.6527259148618372
17031250500,6311,2885,0.4571383299001743
17031250600,3624,2393,0.6603200883002207
17031250700,4368,2786,0.6378205128205128
17031250800,1864,1285,0.6893776824034334
17031251000,889,603,0.6782902137232846
17031251100,3353,2536,0.7563376081121383
17031251200,3577,2594,0.725188705619234
17031251300,3919,2853,0.7279918346516968
17031251400,3747,2563,0.6840138777688818
17031251500,3595,2798,0.7783031988873436
17031251600,3075,2319,0.7541463414634146
17031251700,965,723,0.7492227979274612
17031251800,3681,2992,0.8128226025536539
17031251900,3549,2782,0.7838827838827839
17031252000,4604,3366,0.7311033883579496
17031252101,1212,928,0.7656765676567657
17031252102,5177,3759,0.7260961947073594
17031252201,2492,1891,0.7588282504012841
17031252202,3627,2624,0.7234629170113042
17031260100,969,787,0.8121775025799793
17031260200,758,569,0.7506596306068601
17031260300,1239,926,0.7473769168684423
17031260400,976,815,0.8350409836065574
17031260500,1293,953,0.737045630317092
17031260600,1389,1165,0.8387329013678906
17031260700,1387,1153,0.8312905551550108
17031260800,1894,1492,0.7877507919746568
17031260900,1062,904,0.8512241054613936
17031261000,1741,1220,0.7007466973004021
17031270500,1439,1129,0.7845726198749131
17031271200,978,786,0.803680981595092
17031271300,846,622,0.735224586288416
17031271400,954,641,0.6719077568134172
17031271500,1117,900,0.8057296329453895
17031271800,606,540,0.8910891089108911
17031280100,6354,1019,0.16037141957821843
17031280400,1139,827,0.7260755048287972
17031280800,814,600,0.7371007371007371
17031280900,704,468,0.6647727272727273
17031281900,5049,1590,0.31491384432560904
17031282700,1782,948,0.531986531986532
17031282800,1426,778,0.5455820476858345
17031283100,2495,1457,0.5839679358717434
17031283200,1307,672,0.5141545524100994
17031283800,2984,1362,0.4564343163538874
17031290900,2892,2284,0.7897648686030428
17031291200,1713,1329,0.7758318739054291
17031291600,806,478,0.5930521091811415
17031292200,2173,1661,0.7643810400368155
